"timeseries";"PEP_ID";"LON";"LAT";"Species";"YEAR";"DoY_off";"DoY_out";"autumn_anomaly";"spring_anomaly";"temp_GS";"temp_aut2";"temp_aut3";"RD";"RD_summer";"HRD";"HD35";"FD";"CO2";"ci";"VPD";"FD_spring";"cGSI";"cA_tot-w";"cA_tot"
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1956;291;128;12.23529;-1.558824;17.48583;9.579562;9.521333;70;7;36;1e-05;1e-05;3781.508081;1880.322933;2.399263925;1e-05;118.033;1089.154826;1121.24874
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1957;278;148;-0.764705882;18.44117647;18.31833601;8.08175;8.021;89;17;48;1e-05;1e-05;3785.204728;1882.162696;2.437612876;1e-05;122.1415646;1197.277756;1214.053299
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1958;298;151;19.23529;21.44118;18.85086;10.429235;10.36767;77;17;54;1e-05;1e-05;3789.601455;1565.614053;2.082450523;1e-05;121.4785;1129.339757;1160.874444
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1959;288;133;9.235294;3.441176;20.19339;9.090875;9.024;52;3;30;1e-05;1e-05;3795.397581;1887.338511;3.241355382;1e-05;133.9753;1344.960405;1153.906064
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1960;284;118;5.235294;-11.55882;18.56994;9.4048955;9.385333;73;8;41;1e-05;1e-05;3805.456115;2212.919517;2.69453316;1e-05;126.5506;1211.848072;1239.393225
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1961;301;135;22.23529;5.441176;18.3943;10.94467;10.88367;77;11;45;1e-05;1e-05;3813.627035;1896.441879;2.399914784;1e-05;127.9792;1182.58469;1206.066692
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1962;296;118;17.23529;-11.55882;16.68978;8.5332295;8.362;65;10;40;1e-05;1e-05;3822.804023;2222.922417;2.459936521;1e-05;109.5867;1037.359181;1078.049485
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1963;285;115;6.235294;-14.55882;18.82696;9.095091;9.049;65;8;43;1e-05;1e-05;3830.421192;2227.155888;2.739958072;1e-05;121.9107;1157.910868;1195.879987
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1964;288;124;9.235294;-5.558824;17.73157;8.9664995;8.891333;73;16;48;1e-05;1e-05;3838.993965;1909.224321;2.480655554;1e-05;126.9371;1294.096508;1315.000569
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1965;303;127;24.23529;-2.558824;16.16604;10.08479;9.944;77;12;52;1e-05;1e-05;3845.129057;1911.985525;2.351903328;1e-05;127.1312;1205.399892;1242.171175
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1976;260;116;-18.76470588;-13.55882353;20.01729746;9.0886875;9.239;65;9;25;1e-05;1e-05;3990.006065;1989.770768;2.834701395;1e-05;136.6166969;1423.093594;1187.279606
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1978;288;106;9.235294;-23.55882;17.7128;9.0243125;8.953;64;12;40;1e-05;1e-05;4032.21897;2344.947653;2.516582373;1e-05;119.1491;1145.03624;1146.426353
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1980;247;115;-31.76470588;-14.55882353;19.05002964;9.969083313;10.369;65;6;46;1e-05;1e-05;4077.00043;2033.470479;2.262689412;1e-05;141.0517091;1486.627419;1518.882781
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1981;259;133;-19.76470588;3.441176471;18.86975607;9.849229185;10.05733333;79;10;54;1e-05;1e-05;4092.91959;1696.969478;1.976965667;1e-05;138.2976745;1416.795068;1450.952718
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1982;265;128;-13.76470588;-1.558823529;20.03958373;9.986208313;10.156;66;5;45;1e-05;1e-05;4099.807666;1699.36556;2.296461119;1e-05;139.5000631;1444.556886;1410.701265
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1983;264;157;-14.76470588;27.44117647;19.47996412;9.968291688;10.144;63;18;38;1e-05;1e-05;4118.912634;1361.896275;2.043918328;1e-05;140.4303693;1471.28835;1305.22386
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1984;270;128;-8.764705882;-1.558823529;17.74164266;9.12225;9.196333333;92;15;53;1e-05;1e-05;4138.004811;1716.100215;1.940345898;1e-05;135.8286046;1329.1847;1339.933825
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1985;265;121;-13.76470588;-8.558823529;18.24409203;8.950583312;9.051333333;74;9;43;1e-05;1e-05;4155.678934;1723.779092;1.967303763;1e-05;133.324774;1357.754621;1378.928681
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1986;255;139;-23.76470588;9.441176471;17.79482781;7.655645812;7.756333333;64;11;39;1e-05;1e-05;4174.114582;1731.108167;2.085645836;1e-05;134.630361;1444.020175;1360.536291
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1987;266;142;-12.76470588;12.44117647;16.11563097;8.712583313;8.79;88;16;56;1e-05;1e-05;4194.991974;1739.607489;1.728362211;1e-05;130.3719098;1302.019667;1342.147006
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1988;275;130;-3.764705882;0.441176471;19.21158426;10.1378125;10.23833333;81;13;47;1e-05;1e-05;4227.131634;2103.796344;2.389006081;1e-05;138.0862028;1384.380584;1386.239205
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1989;250;137;-28.76470588;7.441176471;19.09309584;10.17008331;10.504;68;14;40;1e-05;1e-05;4248.005216;1761.131958;2.422937604;1e-05;149.4483125;1656.754095;1584.053077
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1990;275;121;-3.764705882;-8.558823529;18.80780396;9.4590625;9.514333333;93;22;57;1e-05;1e-05;4261.700323;2118.905822;2.458831281;1e-05;144.3703161;1459.306442;1448.925355
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1991;280;146;1.235294118;16.44117647;18.82035594;10.1076875;10.166;77;11;49;1e-05;1e-05;4277.828484;2127.864056;2.334232793;1e-05;127.7952804;1295.450057;1286.218947
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1992;291;118;12.23529;-11.55882;20.24065;10.07081;10.04533;55;9;31;1e-05;1e-05;4286.600775;2491.948627;2.873543333;1e-05;136.2981;1463.665891;1344.74823
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1993;263;112;-15.76470588;-17.55882353;17.18463936;8.607416687;8.702333333;88;18;52;1e-05;1e-05;4294.65525;2140.317728;2.228415965;1e-05;141.0461365;1509.300345;1510.743617
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1994;283;129;4.235294;-0.5588235;19.00306;10.057705;10.09133;76;13;43;1e-05;1e-05;4313.247961;2144.710217;2.491422839;1e-05;134.6203;1389.332661;1370.088599
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1995;299;128;20.23529;-1.558824;19.92988;10.583915;10.52033;56;14;32;1e-05;1e-05;4337.94385;2156.01091;2.668679402;1e-05;122.7628;1243.458343;1138.233085
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1996;276;161;-2.764705882;31.44117647;17.96408976;8.414229188;8.391;52;5;35;1e-05;1e-05;4360.890256;1802.14662;2.032858765;1e-05;128.7746533;1318.821059;1273.503385
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1997;277;138;-1.764705882;8.441176471;20.54939003;9.9000625;9.968333333;64;8;41;1e-05;1e-05;4374.9795;2173.590645;2.775959633;1e-05;137.0395729;1409.824081;1300.806591
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1998;289;116;10.23529;-13.55882;17.55729;10.89004;10.93333;99;12;49;1e-05;1e-05;4407.317129;2562.20335;2.306676145;1e-05;137.5232;1361.767802;1378.457929
"1_Quercus robur";1;9.43333;54.7667;"Quercus robur";1999;286;121;7.235294;-8.558824;19.80145;12.592205;12.77133;93;13;43;1e-05;1e-05;4431.92623;2201.600467;2.661816913;1e-05;138.5249;1420.05287;1384.138003
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1975;251;109;-25.96875;-13.03125;20.05625299;10.29554169;10.626;88;16;51;1e-05;1e-05;3980.864693;1985.273111;3.176182936;1e-05;151.0817763;1544.026301;1503.022654
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1976;250;149;-26.96875;26.96875;19.96493027;8.917062501;9.169666667;70;8;33;1e-05;1e-05;3990.006065;1654.222826;2.957762868;1e-05;153.7805775;1604.208894;1401.534562
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1977;259;113;-17.96875;-9.03125;18.09115454;8.208833313;8.308666667;69;8;39;1e-05;1e-05;4012.09312;2001.15188;2.551599005;1e-05;145.6886013;1464.770563;1452.180267
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1978;254;132;-22.96875;9.96875;18.08645023;9.0409375;9.247;105;14;50;1e-05;1e-05;4032.21897;1671.987331;2.15132139;1e-05;147.1083375;1468.557326;1486.925932
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1979;263;106;-13.96875;-16.03125;18.24903465;8.378833313;8.460666667;66;7;43;1e-05;1e-05;4051.870363;2020.666636;2.538279126;1e-05;141.5907773;1415.601425;1443.02465
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1980;258;156;-18.96875;33.96875;19.35309035;9.956708313;10.186;85;13;49;1e-05;1e-05;4077.00043;1348.232183;1.906282803;1e-05;134.5563388;1337.49422;1378.83422
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1981;268;136;-8.96875;13.96875;17.73033897;9.87258331;10.01533333;91;15;59;1e-05;2;4092.91959;1696.969478;2.434584631;2;156.1226532;1540.443678;1574.387238
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1982;278;101;1.03125;-21.03125;18.7488736;9.951312503;10.01666667;79;6;37;1e-05;1;4099.807666;2383.548272;3.442161118;1;153.9447943;1514.264007;1445.307456
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1983;279;129;2.03125;6.96875;18.63930981;9.876458313;9.927666667;88;12;47;1e-05;1e-05;4118.912634;2049.129503;3.008713212;1e-05;153.5262118;1509.84212;1385.387282
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1984;285;127;8.03125;4.96875;17.17848;9.434479;9.412333;77;15;44;1e-05;1e-05;4138.004811;2058.767979;2.43308897;1e-05;142.4935;1317.730816;1336.212153
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1985;280;109;3.03125;-13.03125;18.06071403;9.094833313;9.086666667;90;11;47;1e-05;1e-05;4155.678934;2417.291522;2.871546342;1e-05;148.0099079;1406.525601;1447.358588
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1986;281;144;4.03125;21.96875;17.51727241;7.529666687;7.409333333;80;15;45;1e-05;1e-05;4174.114582;2076.8073;2.868805416;1e-05;147.0333459;1476.802668;1441.23206
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1987;288;99;11.03125;-23.03125;16.42415;9.5722705;9.539;102;15;66;1e-05;1e-05;4194.991974;2439.753613;2.679185853;1e-05;139.4169;1305.117396;1346.457396
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1988;282;104;5.03125;-18.03125;17.49524;9.9930655;10.02967;92;8;49;1e-05;1e-05;4227.131634;2458.941848;2.914133591;1e-05;152.961;1486.186623;1512.892271
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1989;275;142;-1.96875;19.96875;17.79803286;10.58739582;10.719;91;11;46;1e-05;1;4248.005216;2112.869594;3.083524912;1;156.5390023;1610.812557;1506.869831
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1990;271;119;-5.96875;-3.03125;17.3204899;8.964187501;9.020666667;88;13;48;1e-05;3;4261.700323;2124.279842;2.868617818;3;162.293813;1640.876548;1640.347591
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1991;281;103;4.03125;-19.03125;16.87074626;9.657791687;9.679333333;102;8;50;1e-05;2;4277.828484;2487.581566;3.11080142;2;145.525644;1444.38728;1409.990337
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1992;278;133;1.03125;10.96875;20.02423817;9.443187501;9.474666667;78;15;48;1e-05;1e-05;4286.600775;2131.355541;3.167188278;1e-05;151.5031144;1588.696945;1429.70366
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1993;274;156;-2.96875;33.96875;17.44325229;8.362979188;8.354666667;89;22;63;1e-05;1e-05;4294.65525;1774.131689;1.994154683;1e-05;149.5007159;1501.067248;1535.382404
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1994;276;123;-0.96875;0.96875;18.7244887;9.508708313;9.559666667;96;18;59;1e-05;1;4313.247961;2144.710217;2.993301618;1e-05;147.6177215;1520.737298;1478.815372
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1995;281;97;4.03125;-25.03125;19.09985951;9.885291688;9.922;81;18;51;1e-05;1e-05;4337.94385;2520.70695;3.4936114;1e-05;147.9117223;1495.148031;1465.061842
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1996;283;126;6.03125;3.96875;17.55601;7.4749585;7.338;75;15;42;1e-05;1e-05;4360.890256;2168.301264;2.718601711;1e-05;135.8039;1322.101298;1331.74854
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1997;289;115;12.03125;-7.03125;20.31331;9.2896245;9.227333;72;8;39;1e-05;1e-05;4374.9795;2541.500849;3.526366167;1e-05;142.3326;1351.758046;1281.821714
"1002_Aesculus hippocastanum";1002;7.33333;53.4;"Aesculus hippocastanum";1998;283;131;6.03125;8.96875;18.36936;10.58777;10.65833;82;12;51;1e-05;1e-05;4407.317129;2192.009893;2.56180516;1e-05;148.0794;1389.356165;1430.591504
